dije,adorns locket,dije,
gran,(before the noun) apocopic form of grande great,grande,updated
necesito,first-person singular present indicative of necesitar,necesitar,updated
estado,country land (any broad area or territory),estado,
acuerdo,agreement,acuerdo,
tener,(transitive literally) to have to possess,tener,
dice,third-person singular present indicative of decir,decir,updated
crees,second-person singular present subjunctive of crear,crear,updated
buena,(obsolete) inheritance,buena,
gusta,inflection of gustar:,gustar,updated
nuestro,ours,nuestro,
nuevo,new,nuevo,
haciendo,gerund of hacer,hacer,updated
nombre,name,nombre,
buen,(before the noun) apocopic form of bueno (“good fine”),bueno,updated
ven,second-person singular imperative of venir,venir,updated
tres,three,tres,
menos,less,menos,
debe,inflection of deber:,deber,updated
mal,(before the noun) apocopic form of malo bad evil,malo,updated
conmigo,with me,conmigo,
madre,mother,madre,
hoy,today,hoy,
quien,who,quien,
sido,past participle of ser,ser,updated
tienen,third-person plural present indicative of tener,tener,updated
luego,then (afterward),luego,
todas,feminine plural of todo,todo,updated
toda,feminine singular of todo,todo,updated
hora,hour (a time period of sixty minutes),hora,
mujer,woman,mujer,
visto,seen,visto,
haces,plural of haz,haz,updated
importa,inflection of importar:,importar,updated
contigo,with you (singular),contigo,
ve,The name of the Latin-script letter V/v.,ve,
tarde,late,tarde,
oye,(exclamation informal) hey! listen! (call to attract attention of a single person),oye,
parte,part section portion share piece bit cut proportion,parte,
haber,(auxiliary) have forms the perfect aspect [with masculine singular past participle],haber,
hombres,plural of hombre,hombre,updated
problema,problem issue challenge (a difficulty or obstacle that has to be dealt with),problema,
mas,but,mas,
saber,to know to understand (a fact),saber,
aÃºn,,aÃºn,
veces,(mathematics) by times (multiplication),veces,
nuestra,feminine singular of nuestro,nuestro,updated
hacerlo,infinitive of hacer combined with lo,hacer,updated
cada,each every,cada,
hizo,third-person singular preterite indicative of hacer,hacer,updated
veo,first-person singular present indicative of ver,ver,updated
tanto,so much as much that much,tanto,
ustedes,(formal in Spain Equatorial Guinea Philippines) you (plural),ustedes,
idea,idea,idea,
esos,plural of ese those,ese,updated
van,van (vehicle),van,
debo,first-person singular present indicative of deber,deber,updated
alguna,feminine singular of alguno,alguno,updated
cierto,(of a person) true,cierto,
ud,(music historical) alternative form of oud,oud,updated
muerto,dead,muerto,
unos,masculine plural of un,un,updated
estos,masculine plural of este,este,updated
salir,to go out to leave to depart to head out,salir,
realmente,really actually genuinely,realmente,
demasiado,too much too many excessive,demasiado,
familia,family (a nuclear family),familia,
pueden,third-person plural present indicative of poder,poder,updated
cabeza,(anatomy) head,cabeza,
hemos,plural of hemo,hemo,updated
amigos,plural of amigo,amigo,updated
chica,female equivalent of chico: girl,chico,updated
lado,side,lado,
entre,between,entre,
minutos,plural of minuto,minuto,updated
digo,I mean used to explain or correct a previous utterance,digo,
algÃºn,,algÃºn,
serio,serious earnest sober solemn (without humor),serio,
cuidado,watch out!,cuidado,
buenas,(informal) hello hi,buenas,
somos,first-person plural present indicative of ser,ser,updated
amor,love,amor,
puerta,door (portal of entry into a building),puerta,
ves,inflection of ver:,ver,updated
vaya,expresses surprise: wow! why oh! whoa! well! man! boy!,vaya,
ah,ah (expression of relief realization awe),relief,ah
suerte,luck fortune,suerte,
eh,hey! (used to call draw attention warn or reprehend),eh,
cuenta,count tally,cuenta,
io,,io,
esas,(demonstrative) feminine plural of ese those,ese,updated
pues,so then in that case,pues,
pasado,past,pasado,
hermano,brother,hermano,
debes,second-person singular present indicative of deber,deber,updated
casi,almost,casi,
forma,shape form figure,forma,
aqui,misspelling of aquí,aquí,updated
chico,small,chico,
ok,,ok,
dicho,mentioned said aforementioned,dicho,
nueva,news novelty,nueva,
muchas,feminine plural of mucho,mucho,updated
dentro,inside (for space),dentro,
hice,first-person singular preterite indicative of hacer,hacer,updated
contra,against versus,contra,
auto,(Southern Cone Andes Mexico Philippines) car automobile,auto,
camino,way route,camino,
ayuda,help aid,ayuda,
primera,first gear (lowest gear in a motor vehicle),primera,
hacia,toward towards,hacia,
vi,first-person singular preterite indicative of ver,ver,updated
miedo,fear,miedo,
primero,former (in contrast to the latter) first first one,primero,
poder,to be able to can,poder,
historia,history (the aggregate of past events),past,updated
hey,hey!,hey,
mientras,meanwhile,mientras,
ciudad,city,ciudad,
dijiste,second-person singular preterite indicative of decir,decir,updated
espero,first-person singular present indicative of esperar,esperar,updated
esposa,wife,esposa,
pronto,prompt on time,pronto,
chicos,masculine plural of chico,chico,updated
cualquier,(before noun) apocopic form of cualquiera any whatever whichever,cualquiera,updated
viejo,old (having existed for a long time),viejo,
debemos,first-person plural present indicative of deber,deber,updated
deja,rest (that remaining after cutting textiles),deja,
muerte,death (the cessation of life),muerte,
hablando,gerund of hablar,hablar,updated
manos,plural of mano,mano,updated
da,inflection of dar:,dar,updated
loco,crazy insane mad nuts (asserting that something is out of place in the head),loco,
problemas,plural of problema,problema,updated
mano,(anatomy of a person) hand,mano,
guerra,war warfare,guerra,
semana,week (7 days),semana,
pasar,(transitive) to pass to hand to slip,pasar,
vale,a voucher an IOU,vale,
viene,third-person singular present indicative of venir,venir,updated
volver,to return to revert to get back,volver,
toma,conquest capture taking takeover,toma,
caso,case (situation or fact),caso,
agua,water,agua,
vete,second-person singular imperative of ir combined with te,ir,updated
entiendo,first-person singular present indicative of entender,entender,updated
horas,plural of hora,hora,updated
personas,plural of persona,persona,updated
adelante,forward (toward the front),adelante,
listo,clever smart (with ser),listo,
noches,plural of noche,noche,updated
buenos,masculine plural of bueno,bueno,updated
iba,first/third-person singular imperfect indicative of ir,ir,updated
juntos,masculine plural of junto,junto,updated
dame,inflection of dar:,dar,updated
Ãºnico,,Ãºnico,
cerca,close near around about nearly nigh (referring to quantity or time-related),cerca,
otros,masculine plural of otro,otro,updated
sigue,inflection of seguir:,seguir,updated
grande,(after the noun or predicatively) big large,grande,
arriba,above over,arriba,
jefe,chief president head leader of a business political party or other organization,jefe,
habla,speech (faculty of speech),habla,
supongo,first-person singular present indicative of suponer,suponer,updated
manera,way manner method style,manera,
quieren,third-person plural present indicative of querer,querer,updated
feliz,happy merry (trait),feliz,
significa,inflection of significar:,significar,updated
sangre,blood,sangre,
fin,(sometimes feminine) end,fin,
bajo,short (of little height),bajo,
llama,flame,llama,
venir,(intransitive) to come (to move towards the speaker),venir,
morir,(intransitive sometimes reflexive) to die,morir,
importante,important that cares that matters.,importante,
hiciste,second-person singular preterite indicative of hacer,hacer,updated
ojos,plural of ojo,ojo,updated
escucha,listening,escucha,
entrar,to enter to come in to get in to go in to get inside to come on in,entrar,
ningÃºn,,ningÃºn,
diablos,(colloquial) damn it hell heck,diablos,
necesitamos,first-person plural present/preterite indicative of necesitar,necesitar,updated
durante,during in over,durante,
dices,second-person singular present indicative of decir,decir,updated
nuestros,masculine plural of nuestro,nuestro,updated
persona,person (an individual usually a human being),persona,
abajo,down downwards,abajo,
dr,,dr,
hija,daughter female equivalent of hijo,hija,
dejar,(transitive) to leave (to place),dejar,
necesita,inflection of necesitar:,necesitar,updated
llegar,(intransitive) to arrive get (to),llegar,
hago,first-person singular present indicative of hacer,hacer,updated
haya,beech beech tree,haya,
suficiente,sufficient enough,suficiente,
doctor,doctor (Ph.D.),doctor,
tierra,(geography) land ground (the part of Earth which is not covered by oceans or other bodies of water),tierra,
cara,(anatomy) face (the front part of the head),cara,
siquiera,at least at the least,siquiera,
genial,genial pleasant,genial,
cree,inflection of crear:,crear,updated
supuesto,supposed self-styled alleged,supuesto,
tomar,to take,tomar,
equipo,team,equipo,
justo,right just,justo,
juego,play,juego,
ninguna,feminine singular of ninguno,ninguno,updated
matar,to kill slay,matar,
cinco,five,cinco,
dicen,third-person plural present indicative of decir,decir,updated
amo,master (man who owns a slave),amo,
algunos,masculine plural of alguno,alguno,updated
conozco,first-person singular present indicative of conocer,conocer,updated
clase,lecture,clase,
maldito,(after nouns) cursed,maldito,
unas,feminine plural of un,un,updated
muchos,masculine plural of mucho,mucho,updated
hubiera,first/third-person singular imperfect subjunctive of haber,haber,updated
segundo,(ordinal number) second (after the first),segundo,
aunque,though although even though albeit,aunque,
pueda,inflection of poder:,poder,updated
dime,second-person singular imperative of decir combined with me,decir,updated
igual,equal same,igual,
comida,food,comida,
ay,ah! alas!,ay,
cuerpo,body (the physical structure of a human or animal),cuerpo,
encontrar,(transitive) to meet,encontrar,
fuerte,strong,fuerte,
vuelta,turn,vuelta,
venga,A cheer or expression of support encouragement etc. come on attaboy,venga,
creer,(transitive) to believe,creer,
realidad,reality,realidad,
saben,third-person plural present indicative of saber,saber,updated
puta,(derogatory vulgar) whore slut prostitute,puta,
pregunta,question (sentence that asks for information),pregunta,
fui,first-person singular preterite indicative of ir,ir,updated
cuatro,four,cuatro,
sra,,sra,
primer,(before the noun) apocopic form of primero (first),primero,updated
trabajar,to work,trabajar,
e,The fifth letter of the Spanish alphabet written in the Latin script.,e,
hagas,second-person singular present subjunctive of hacer,hacer,updated
alto,tall,alto,
maldita,feminine singular of maldito,maldito,updated
comer,to eat,comer,
nÃºmero,,nÃºmero,
dar,(transitive) to give to give out,dar,
necesitas,second-person singular present indicative of necesitar,necesitar,updated
john,,john,
oportunidad,opportunity chance shot break occasion time (in both senses: “chance for advancement progress or profit” and “favorable circumstance or occasion”),oportunidad,
punto,point (a specific spot location or place),punto,
misma,feminine singular of mismo,mismo,updated
Ãºltima,,Ãºltima,
afuera,out outside,afuera,
mujeres,plural of mujer (“women”),mujer,updated
pensar,to think ponder,pensar,
fueron,third-person plural preterite indicative of ir,ir,updated
vivir,(intransitive) to live to be alive,vivir,
paso,dried (said of fruit),paso,
malo,bad,malo,
estabas,second-person singular imperfect indicative of estar,estar,updated
vivo,alive living (having life),vivo,
haga,inflection of hacer:,hacer,updated
queda,curfew,queda,
hijos,plural of hijo (“sons children”),hijo,updated
mayor,comparative degree of grande: bigger,mayor,
fiesta,party,fiesta,
hacen,third-person plural present indicative of hacer,hacer,updated
medio,half (of or related to one of two equal divisions of a whole),medio,
algunas,feminine plural of alguno,alguno,updated
basta,stop! enough!,basta,
ei,,ei,
arma,weapon arm,arma,
vino,wine (an alcoholic beverage made by fermenting grape juice with an ABV ranging from 5.5–16%),vino,
meses,plural of mes,mes,updated
cuarto,(ordinal number) fourth,cuarto,
escuela,school (an institution dedicated to teaching and learning),escuela,
posible,possible,posible,
tuve,first-person singular preterite indicative of tener,tener,updated
preocupes,second-person singular present subjunctive of preocupar,preocupar,updated
jack,,jack,
luz,light,luz,
eran,third-person plural imperfect indicative of ser,ser,updated
carajo,(vulgar) cock,carajo,
final,final (last ultimate),final,
lista,list roll,lista,
trata,trafficking trade slave trade,trata,
armas,plural of arma,arma,updated
hermana,sister female equivalent of hermano (“brother”),hermana,
exactamente,exactly,exactamente,
chicas,feminine plural of chico,chico,updated
bastante,enough sufficient,bastante,
seguridad,safety security,seguridad,
pasando,gerund of pasar,pasar,updated
esperando,gerund of esperar,esperar,updated
perro,dog (the species Canis familiaris (sometimes designated Canis lupus familiaris) domesticated for thousands of years and of highly variable appearance because of human breeding),perro,
fuego,fire,fuego,
tampoco,neither nor also not,tampoco,
sola,feminine singular of solo,solo,updated
estuvo,third-person singular preterite indicative of estar,estar,updated
verte,infinitive of ver combined with te,ver,updated
tenido,past participle of tener,tener,updated
culpa,fault,culpa,
veras,truth reality,veras,
buscando,gerund of buscar,buscar,updated
cuanto,whatever quantity as much however much,cuanto,
padres,plural of padre,padre,updated
paz,peace (warlessness),paz,
demonios,the hell on earth (for emphasis after a question word),demonios,
cual,(formal literary) like as in the manner of,cual,
asi,misspelling of así,así,updated
jugar,to play,jugar,
pensando,gerund of pensar,pensar,updated
esperar,(transitive or catenative) to hope [with direct object ‘for something’ or infinitive ‘to do something’ or que (+ subjunctive clause) ‘that something happens’],esperar,
sabemos,first-person plural present indicative of saber,saber,updated
recuerdo,memory,recuerdo,
par,even (divisible by two),par,
joven,young youthful,joven,
seguir,(transitive or intransitive) to follow,seguir,
pueblo,town village,pueblo,
tenga,inflection of tener:,tener,updated
caballeros,plural of caballero,caballero,updated
idiota,idiotic,idiota,
dio,third-person singular preterite indicative of dar,dar,updated
minuto ,,minuto ,
pueblo,town village,pueblo,
tenga,inflection of tener:,tener,updated
caballeros,plural of caballero,caballero,updated
idiota,idiotic,idiota,
dio,third-person singular preterite indicative of dar,dar,updated
Ãºnica,,Ãºnica,
lejos,far,lejos,
nuestras,feminine plural of nuestro,nuestro,updated
plan,plan,plan,
pienso,animal feed,pienso,
sentido,deeply felt heartfelt,sentido,
dormir,(intransitive) to sleep,dormir,
digas,second-person singular present subjunctive of decir,decir,updated
palabra,word,palabra,
correcto,correct right,correcto,
control,control or running of a business,control,
vemos,first-person plural present indicative of ver,ver,updated
entiendes,second-person singular present indicative of entender,entender,updated
seis,six,seis,
Ãºltimo,,Ãºltimo,
diga,way to say hello on the telephone,diga,
trato,treatment (the process or manner of treating someone or something),treating,updated
rey,king,rey,
sucede,inflection of suceder:,suceder,updated
sam,,sam,
muchachos,plural of muchacho,muchacho,updated
cama,bed,cama,
srta,,srta,
ayudar,(transitive) to help,ayudar,
acerca,(archaic) adjacent,acerca,
di,first-person singular preterite indicative of dar,dar,updated
cambio,change shift,cambio,
falta,lack shortage,falta,
hospital,hospital,hospital,
lleva,inflection of llevar:,llevar,updated
presidente,president,presidente,
mil,thousand,mil,
gusto,taste (sense),gusto,
conoces,second-person singular present indicative of conocer,conocer,updated
diciendo,gerund of decir,decir,updated
os,(Spain) you to you for you dative and accusative of vosotros,vosotros,updated
ido,away with the fairies absent-minded,ido,
general,general overall,general,
semanas,plural of semana,semana,updated
coche,(chiefly Philippines Equatorial Guinea Spain) car automobile,coche,
peor,comparative degree of malo: worse,peor,
mucha,feminine singular of mucho,mucho,updated
disculpe,excuse me pardon me,disculpe,
anoche,last night,anoche,
perder,to lose,perder,
nave,ship vessel (with a concave hull),nave,
cielo,sky,cielo,
orden,order (command),orden,
segura,feminine singular of seguro,seguro,updated
querida,female equivalent of querido,querido,updated
michael,,michael,
deben,third-person plural present indicative of deber,deber,updated
libro,book,libro,
calle,street,calle,
piensas,second-person singular present indicative of pensar,pensar,updated
hacemos,first-person plural present indicative of hacer,hacer,updated
